SYMBOL	N
NEU1	7
NLRP11	7
NPAS3	7
NR2F2-AS1	7
NSD3	7
OLMALINC	7
PATJ	7
PAXIP1	7
PCDHGA10	7
PDE1C	7
PDZD2	7
PLCL2	7
PRH2	7
PRKAA1	7
PRKG1	7
PRR16	7
PTGER4	7
RNF213-AS1	7
SAMD12	7
SATB1-AS1	7
SCN9A	7
SIRPG	7
SLAMF1	7
SLC24A3	7
SRRM3	7
SUGCT	7
SYCE3	7
SYNGAP1-AS1	7
TG	7
TM4SF19	7
TMEM132B	7
TMEM213	7
TNXB	7
TRIM31	7
TRIO	7
TRPA1	7
TTC28	7
UGT1A9	7
UMOD	7
WDR11-DT	7
WDR7	7
Y_RNA	7
ZBTB22	7
ZEB2-AS1	7
ZNF423	7
ZSWIM5	7
ZZEF1	7
AADACL2-AS1	6
ADRA1B	6
AGAP2	6
ANAPC1P2	6
ANO7	6
ANTXR1	6
APOBEC3A	6
ARFGEF3	6
ARID5B	6
ATG2B	6
BAALC-AS1	6
BCL6B	6
CAMK2N1	6
CASC6	6
CASC8	6
CCDC144NL	6
CCNT2-AS1	6
CDH12	6
CDH4	6
CDT1	6
CFAP53	6
CNPY1	6
CNTN3	6
DAW1	6
DNAJC13	6
DOCK3	6
DRICH1	6
EPHA6	6
ERG	6
EXOC1-AS1	6
FAM241A	6
FAM81B	6
FRMD4A	6
GABRA6	6
GAS7	6
GNA11	6
GPC5	6
GSEC	6
HES3	6
IFI35	6
IL2RA	6
INSR	6
ITPRID1	6
KDM7A	6
KIF6	6
KLF5	6
LAMA5-AS1	6
LINC00838	6
LINC01079	6
LINC01470	6
LINC02147	6
LINC02319	6
LINC02607	6
LINC02699	6
LINC02725	6
LINC02895	6
LINC03020	6
LNX1	6
LSAMP	6
LYPLAL1	6
MDGA2	6
MEIKIN	6
MLN	6
MOBP	6
MTCL2	6
MUC20	6
NAALADL2	6
NDUFB9	6
NEGR1	6
NSMCE1-DT	6
NSUN3	6
OAS1	6
OR13A1	6
PCDHGA3	6
PCP2	6
PFKFB3	6
PKHD1	6
PLCXD2	6
PLPPR5	6
PRKDC	6
PSEN2	6
RALYL	6
RBP2	6
RCAN2	6
RGSL1	6
RNU6-937P	6
RSBN1	6
RUNX1	6
SCD5	6
SERTAD2	6
SGPP2	6
SKI	6
SLC12A7	6
SLC1A7	6
SLC25A21	6
SLC45A2	6
SLC6A3	6
SLIT1	6
SNAP23	6
SOCS7	6
SPON1	6
SSTR5-AS1	6
SUCLG2	6
SYN2	6
SYT9	6
TANK	6
TARS1-DT	6
TEX15	6
THSD7A	6
TMC3-AS1	6
TRMT44	6
TRRAP	6
U2	6
UNC13C	6
VAT1L	6
VAV3-AS1	6
VPS13C	6
VTI1A	6
VWF	6
ZFP14	6
ABCA13	5
ABCB5	5
ABTB3	5
ADGRL1	5
AKR1B15	5
ANKFN1	5
BCL6-AS1	5
C12orf56	5
CABLES2	5
CACNG7	5
CD28	5
CDH13-AS1	5
CES5A	5
CHD6	5
COX19	5
CRYBG1	5
CYLC2	5
CYP24A1	5
DMBT1L1	5
DNAH10	5
DNAH3	5
ENPP6	5
EXT1	5
F11-AS1	5
FAXC	5
FITM2	5
GABRG3	5
GDNF-AS1	5
GOLGA8F	5
GPR156	5
GREM2	5
HCG20	5
HEATR4	5
HPGDS	5
HRG-AS1	5
IGF1R	5
IRF4	5
JPH3	5
KBTBD11	5
KCNK1	5
LAMA5	5
LEKR1	5
LINC00326	5
LINC00511	5
LINC00868	5
LINC00871	5
LINC00923	5
LINC01262	5
LINC01479	5
LINC01847	5
LINC01967	5
LINC02073	5
LINC02111	5
LINC02196	5
LINC02245	5
LINC02267	5
LINC02508	5
LINC02509	5
LINC02511	5
LINC02641	5
LINC02648	5
LINC03026	5
LINC03059	5
LNC-LBCS	5
LRP2	5
MIR548XHG	5
MUSK	5
NDST4	5
NEURL1	5
NFKBIL1	5
NKD1	5
NRG3-AS1	5
PAK5	5
PAUPAR	5
PCDHGA9	5
PCSK5	5
PI4KB	5
PKD1L1	5
PRRT1B	5
PWRN1	5
RMI2	5
RNF216	5
RPL23AP7	5
RYR3	5
SAPCD1	5
SEPTIN3	5
SGMS1-AS1	5
SGPP1	5
SIM2	5
SLC35A3	5
SLC6A12-AS1	5
SMG6	5
SOX5	5
SP1	5
SRCIN1	5
SRXN1	5
ST6GALNAC3	5
SUGT1P3	5
SULT6B1	5
TBC1D26	5
TBX2-AS1	5
TCERG1L	5
TDRD12	5
TEAD1	5
TEX46	5
TGFB2	5
TMED3	5
TNK2	5
TNK2-AS1	5
TPGS1	5
TUB	5
UGT1A10	5
UGT1A3	5
ZC3H6	5
ZNF835	5
ZNF845	5
ABCA17P	4
ABCA4	4
ABCD2	4
ADAMTS17	4
ADARB2	4
ADGRB3	4
AGBL1	4
ALK	4
ANO2	4
APTX	4
ARHGAP24	4
ARHGAP9	4
B3GALT1-AS1	4
B3GLCT	4
BRD10	4
CCDC144NL-AS1	4
CCDC92B	4
CD70	4
CDH20	4
CMTM4	4
CRYBB2	4
DIP2C-AS1	4
DLG4	4
DLGAP1	4
DNAH12	4
DOT1L	4
DSCAML1	4
DYNLRB2-AS1	4
EN2-DT	4
FAM151B	4
FAM180A	4
FER	4
GALNT9-AS1	4
GNG13	4
HLA-DOA	4
HLA-DRB9	4
HMCN2	4
ID4	4
KAZN	4
KCNB2	4
KCNH8	4
KIF26B	4
LINC00434	4
LINC00881	4
LINC00971	4
LINC01208	4
LINC01257	4
LINC01363	4
LINC01396	4
LINC01807	4
LINC02306	4
LINC02318	4
LINC02687	4
LINC02832	4
LINC02880	4
LINC03142	4
LMCD1-AS1	4
LNROP	4
LUZP2	4
MBLAC2	4
MED13	4
MIR4713HG	4
MROH9	4
MUC16	4
NAP1L1	4
NECTIN4	4
NFIX	4
NR4A3	4
NXNL2	4
NXPH1	4
OR2AT4	4
P4HA2	4
PCDHGA1	4
PCDHGA2	4
PCDHGA4	4
PCDHGA5	4
PCDHGA6	4
PCDHGA7	4
PCDHGA8	4
PCDHGB1	4
PCDHGB2	4
PCDHGB3	4
PCDHGB4	4
PCDHGB5	4
PCGEM1	4
PGBD5	4
PLCXD3	4
PLEK	4
POU1F1	4
POU6F2	4
PRH1	4
PRKCZ-AS1	4
PSMF1	4
PTPRG	4
PTPRQ	4
RAD9A	4
RGS20	4
RNF220	4
RNU4ATAC6P	4
SAMD12-AS1	4
SCHIP1	4
SEMA3D	4
SH2D4B	4
SH3BGRL2	4
SLC16A13	4
SLC17A8	4
SMAD1-AS2	4
SMIM13	4
SOD2	4
SPMIP2	4
SPOCK2	4
SPRR2D	4
SUSD5	4
SYCP2	4
TAF4	4
TEAD3	4
TGFB1	4
THSD7B	4
TIMD4	4
TRIM31-AS1	4
TRIM71	4
TTC33	4
UGT1A8	4
ULK4	4
WNT8A	4
WT1-AS	4
XYLT1	4
ZBTB34	4
ZNF675	4
ADGRL1-AS1	3
ADGRL4	3
AIM2	3
AJAP1	3
ASXL3	3
ASXL3-DT	3
ATP13A4-AS1	3
B3GALT1	3
BAIAP2-DT	3
BFSP2	3
C12orf75	3
C7orf78	3
CACNG2	3
CATSPER4	3
CATSPERB	3
CBLN2	3
CCNY	3
CCR3	3
CFAP74	3
CHD5	3
CLDN14	3
COL24A1	3
CREBBP	3
DAB1	3
DCC	3
DCDC2C	3
DLX2-DT	3
DNAH6	3
DNAH8	3
DNAJC6	3
DOCK9-AS1	3
DPP10-AS1	3
DUSP4	3
ECE1	3
ECT2L	3
EIF3E	3
ENTPD1-AS1	3
FAM186B	3
FAM83F	3
FAT3	3
FCRL4	3
FMNL1-AS1	3
GCLC-AS1	3
GDNF	3
GNA15	3
GPR158	3
GRIK3	3
HNF4G	3
IFFO2	3
IL17F	3
INSL3	3
KATNIP	3
KCNH7	3
LBH	3
LCE1E	3
LHFPL3	3
LINC00332	3
LINC00880	3
LINC01241	3
LINC01377	3
LINC01435	3
LINC01818	3
LINC01827	3
LINC01830	3
LINC01935	3
LINC02038	3
LINC02182	3
LINC02377	3
LINC02385	3
LINC02497	3
LINC02631	3
LINC02734	3
LINC02831	3
LINC02993	3
LINC03088	3
LINC03094	3
LNCTSI	3
LRRTM4	3
LYPLAL1-AS1	3
MALRD1	3
MESP2	3
MIR124-1HG	3
MIR3667HG	3
MKNK1-AS1	3
MUC5B	3
MYH3	3
Metazoa_SRP	3
NCAM2	3
NECTIN1-DT	3
NFIB-AS1	3
NPEPPSP1	3
NPIPB8	3
NRIP2	3
NRXN1-DT	3
OR6C75	3
OSTM1	3
OVCH1	3
PADI4	3
PBX1	3
PCCA-DT	3
PCDH9-AS2	3
PCDHGA11	3
PCDHGB7	3
PCP4L1	3
PLBD1-AS1	3
PRICKLE2	3
PRKD1	3
PRPF40B	3
PTP4A1	3
RFX5-AS1	3
RIC3	3
RMDN2	3
RN7SKP206	3
RNU6-596P	3
RTN4RL1-AS1	3
SCN10A	3
SH3RF3	3
SLC14A2	3
SLC7A6OS	3
SMARCAL1-AS1	3
SMIM8	3
SPTSSA	3
STARD4-AS1	3
SV2C	3
SYN3	3
SYNPR-AS1	3
TBC1D3I	3
TEKTIP1	3
THBS2-AS1	3
THEMIS	3
THSD4	3
TNP2	3
TPTE2P6	3
TRPC7-AS1	3
TSHZ2	3
UGT1A7	3
UPK1A	3
VWA7	3
WDR37	3
ZFR2	3
ZNF707	3
ZSCAN5A-AS1	3
AAK1	2
ACTE1P	2
ADAMTSL1	2
ADGRD1	2
ANKRD34C	2
APCDD1L	2
ATG5	2
ATP2C2-AS1	2
BACH1	2
BPNT1	2
C10orf120	2
CCDC140	2
CCDC162P	2
CCDC33	2
CD5L	2
CDC42EP3-AS1	2
CELF6-AS1	2
CENPN-AS1	2
CFTR	2
CHRM3-AS2	2
CNTNAP5	2
CSF2	2
CUBNP3	2
CYP1B1	2
DSCAM	2
DSEL-AS1	2
EGFEM1P	2
EIF3KP2	2
EN2	2
ERRFI1	2
EVA1A	2
EXTL3-AS1	2
FAM110B	2
FBN2	2
FBXO39	2
FMO5	2
GALNT8	2
GAREM1	2
GAS2	2
GGNBP1	2
GHSR	2
GNG12-AS1	2
GPD2	2
GRIN3B	2
GRM7-AS3	2
GSE1	2
HLA-DQB1-AS1	2
HS3ST4	2
HS6ST3	2
HSPD1P13	2
IGHV3-30	2
IGHV3-32	2
IGHVII-28-1	2
INSL6	2
KCNA6-AS1	2
KIAA1217	2
KIF28P	2
KLF13	2
KLHL35	2
KLRD1	2
KRT24	2
LASP1NB	2
LDHAL6A	2
LINC00314	2
LINC00390	2
LINC00485	2
LINC00534	2
LINC00578	2
LINC00658	2
LINC00856	2
LINC01019	2
LINC01035	2
LINC01072	2
LINC01149	2
LINC01438	2
LINC01440	2
LINC01574	2
LINC01612	2
LINC01638	2
LINC01644	2
LINC01722	2
LINC01843	2
LINC02005	2
LINC02099	2
LINC02208	2
LINC02328	2
LINC02435	2
LINC02496	2
LINC02535	2
LINC02538	2
LINC02646	2
LINC02666	2
LINC02752	2
LINC02764	2
LINC02794	2
LINC02899	2
LINC02938	2
LINC02942	2
LINC03096	2
LINC03150	2
LNCAROD	2
LNMICC	2
LRP1	2
LRRTM3	2
MADCAM1-AS1	2
MAP2K5-DT	2
MAPT-IT1	2
MEIOSIN	2
MIPEPP3	2
MIR4307HG	2
MIR6891	2
MUC2	2
MUC22	2
MYHAS	2
NAE1	2
NEMP2-DT	2
NOVA1-DT	2
NREP	2
NRIR	2
NTN3	2
OFCC1	2
OR8H1	2
OTX2-AS1	2
OVOL2	2
PAPOLA-DT	2
PCDHGA12	2
PDE4D-AS1	2
PDX1	2
PDZRN4	2
PGAM3P	2
PHGDH	2
PLOD2	2
POLDIP2	2
POU2AF2	2
PPM1B	2
PTCHD3P3	2
RGS9	2
RN7SL505P	2
RNA5SP464	2
RNF6	2
RORB	2
RPL35AP15	2
RPS4XP11	2
RTN4RL1	2
SDK1	2
SEC23A-AS1	2
SEMA6D	2
SGCZ	2
SLC14A2-AS1	2
SLC19A4P	2
SLC2A1-DT	2
SLC4A4	2
SLC52A2	2
SLCO2B1	2
SORCS1	2
SORCS2	2
SOX17	2
STK3	2
SV2C-AS2	2
SYT1-AS1	2
TACR3-AS1	2
TEKT1	2
TENM3-AS1	2
TEX53	2
TMEM132D	2
TMEM179	2
TMPRSS2	2
TRAC	2
TRAJ1	2
TRAJ2	2
TRAJ3	2
TRAJ4	2
U3	2
UGT1A5	2
UGT2B7	2
UMAD1	2
UPK1A-AS1	2
URAD	2
USP12-AS1	2
USP30-AS1	2
VAT1	2
VIRMA-DT	2
XKR4	2
XKR6	2
ZIC4-AS1	2
ZNF213-AS1	2
ZNF433	2
ZNRD2-DT	2
ZSCAN1	2
ABCE1P2	1
ABCE1P3	1
ABHD17AP6	1
ACKR4P1	1
ADA	1
ADAM5	1
ADGRF2P	1
ADORA1	1
AEBP2	1
AGAP2-AS1	1
AK4P3	1
AKR1B1P2	1
ANAPC1	1
ANAPC5	1
ANKRD26P4	1
ANO6	1
AOPEP	1
AP3S1P3	1
ARHGAP29-AS1	1
ARID3BP1	1
ARL14EPP1	1
ASH2LP3	1
ASNSP3	1
ATP5MFP4	1
ATP5MGP2	1
ATP5MGP7	1
ATP6V0CP4	1
ATP8A2P3	1
AURKBP1	1
B4GALT4-AS1	1
BANF1P5	1
BASP1	1
BBS9	1
BCRP6	1
BECN2	1
BFSP1	1
BNIP3L	1
BSNDP4	1
BTG1	1
BTG4	1
C12orf75-AS1	1
C1QTNF7-AS1	1
C2orf42	1
C2orf69	1
C4A-AS1	1
C4BPAP2	1
C4orf54	1
CACNA1B-AS2	1
CCDC166	1
CCNB2P1	1
CD63	1
CD96	1
CDC42EP2	1
CDX2	1
CEACAMP3	1
CEACAMP5	1
CEP192P1	1
CES1P2	1
CHMP6	1
CHRNA6	1
CMPK2	1
COL11A2P1	1
COX6B1	1
COX6B1P4	1
COX6CP3	1
COXFA4P5	1
CPEB2-DT	1
CRIP3	1
CSNK1G2P1	1
CYP21A1P	1
CYP2T3P	1
DACT2	1
DCAF13P1	1
DDAH1	1
DHFR2	1
DMAC1	1
DNAJC19P2	1
DNAJC8P4	1
DPP6-AS1	1
DPPA2P3	1
DPY19L1P1	1
DPYS	1
DRG1	1
DSCR4	1
DUXAP11	1
EEF1A1P20	1
EEF1DP5	1
EFCAB15P	1
EFCAB9	1
EGLN3	1
EIF2AK3-AS1	1
ENPP7P1	1
ENPP7P4	1
ENTPD1	1
ENTPD4-DT	1
ERCC6L2-AS1	1
ERICH1	1
ERVK9-11	1
ESRRAP2	1
EVA1CP4	1
EWSR1P2	1
FAM151B-DT	1
FAM210CP	1
FAM215B	1
FAM83A-AS2	1
FANCF	1
FBXL5	1
FBXO16	1
FBXO4	1
FCER1A	1
FGFR3P1	1
FTLP1	1
FZD10-AS1	1
GABRB3	1
GAPDHP68	1
GBX2-AS1	1
GDI2P2	1
GLUD1P4	1
GML	1
GOLGA6C	1
GOT1-DT	1
GPC6	1
GRXCR1	1
GSTM3P1	1
GTF3AP1	1
GUCA1B	1
GUCY2D	1
GUSBP11	1
H1-2	1
H2BP6	1
H3C3	1
H3P23	1
HCRT	1
HDAC2	1
HEPHL1	1
HIGD2AP1	1
HIVEP3	1
HLA-DPA2	1
HLA-DQA2	1
HLA-S	1
HLA-Z	1
HMGB1P18	1
HMGB3P27	1
HNRNPA1P42	1
HNRNPA1P66	1
HNRNPA3P4	1
HNRNPDP2	1
HSF5	1
HSPA8P16	1
HSPE1P11	1
HTR3C2P	1
HUNK	1
HUNK-AS1	1
IFIT3	1
IFIT6P	1
IGHV4-28	1
IGHV7-27	1
IGLV9-49	1
IQSEC1	1
JCAD	1
KBTBD11-OT1	1
KCNH7-AS1	1
KCNJ6	1
KIF26B-AS3	1
KRT35	1
KRT8P37	1
KRTAP2-5P	1
LARP1	1
LDLRAD4-AS1	1
LIN28B-AS1	1
LINC00276	1
LINC00355	1
LINC00423	1
LINC00536	1
LINC00554	1
LINC00861	1
LINC00877	1
LINC01082	1
LINC01106	1
LINC01381	1
LINC01482	1
LINC01500	1
LINC01582	1
LINC01737	1
LINC01846	1
LINC01907	1
LINC01924	1
LINC01942	1
LINC01951	1
LINC01978	1
LINC02069	1
LINC02112	1
LINC02161	1
LINC02251	1
LINC02300	1
LINC02309	1
LINC02338	1
LINC02469	1
LINC02516	1
LINC02568	1
LINC02580	1
LINC02673	1
LINC02781	1
LINC02869	1
LINC02878	1
LINC02964	1
LINC03116	1
LINGO4	1
LIX1-AS1	1
LOXL2-AS1	1
LRRC37BP1	1
LYPLA2P1	1
MAN2A1-DT	1
MAP9-AS1	1
MARCHF4	1
MCC	1
MCF2L-AS1	1
MEST	1
MFSD12-AS1	1
MGLL	1
MILR1	1
MIR1302-3	1
MIR1303	1
MIR191	1
MIR3064	1
MIR3135B	1
MIR3148	1
MIR3181	1
MIR3195	1
MIR324	1
MIR3665	1
MIR425	1
MIR4298	1
MIR4323	1
MIR4422HG	1
MIR4427	1
MIR4480	1
MIR4489	1
MIR4747	1
MIR4779	1
MIR4791	1
MIR4797	1
MIR5011	1
MIR5047	1
MIR548AL	1
MIR548S	1
MIR626	1
MIR6508	1
MIR661	1
MIR6758	1
MIR6761	1
MIR6833	1
MIR874	1
MIR885	1
MIR924	1
MIRLET7A1	1
MIRLET7D	1
MIRLET7F1	1
MRPL32	1
MRPS17P5	1
MRPS36P5	1
MT1L	1
MTCYBP42	1
MTND2P30	1
MUC20-OT1	1
MYL6P1	1
MYO16-AS1	1
NAV2	1
NBN	1
NIFKP4	1
NLRP3	1
NMT1	1
NOL4L-DT	1
NOP35P1	1
NPBWR1	1
NPM1P52	1
NUDT7	1
NUFIP1P1	1
NUTM2HP	1
OR10AD1	1
OR10J4	1
OR10J5	1
OR14A16	1
OR2D2	1
OR2L5	1
OR2W5P	1
OR3A3	1
OR52L2P	1
OR55B1P	1
OR56B3P	1
OR5V1	1
OR7D1P	1
OR7E111FP	1
OR7E59P	1
OR7K1P	1
OS9	1
OVOS2P	1
PDCD2P2	1
PDILT	1
PGAP2	1
PGBD4P8	1
PHB1P16	1
PI4K2B	1
PIAS1	1
PIGC	1
PKD1L2	1
PKDREJ	1
PLUT	1
PMS2CL	1
POM121L13P	1
POU6F2-AS2	1
PPARGC1A	1
PPARGC1A-AS1	1
PPIAP29	1
PPIAP4	1
PPIAP9	1
PPP1R1AP1	1
PPP1R2B	1
PPP2R1A	1
PRAMEF27	1
PRELID2	1
PRELID3BP11	1
PRR4	1
PSMD4P1	1
PSMD8P1	1
PTMAP3	1
PUDPP2	1
PYM1	1
RAC1P2	1
RAC2	1
RARA-AS1	1
RIPOR2	1
RMDN2-AS1	1
RN7SKP188	1
RN7SKP214	1
RN7SKP252	1
RN7SKP74	1
RN7SL116P	1
RN7SL172P	1
RN7SL203P	1
RN7SL297P	1
RN7SL395P	1
RN7SL398P	1
RN7SL546P	1
RN7SL612P	1
RN7SL653P	1
RN7SL68P	1
RN7SL734P	1
RNA5SP180	1
RNA5SP182	1
RNA5SP220	1
RNA5SP260	1
RNA5SP445	1
RNA5SP45	1
RNA5SP482	1
RNPC3P1	1
RNU1-18P	1
RNU1-35P	1
RNU2-1	1
RNU2-16P	1
RNU4-21P	1
RNU4-62P	1
RNU4-79P	1
RNU4-9P	1
RNU4ATAC13P	1
RNU4ATAC16P	1
RNU6-110P	1
RNU6-1116P	1
RNU6-1266P	1
RNU6-13P	1
RNU6-155P	1
RNU6-157P	1
RNU6-456P	1
RNU6-466P	1
RNU6-534P	1
RNU6-558P	1
RNU6-567P	1
RNU6-603P	1
RNU6-639P	1
RNU6-677P	1
RNU6-694P	1
RNU6-777P	1
RNU6-880P	1
RNU6-928P	1
RNU6-938P	1
RNU6-990P	1
RNU7-157P	1
RNU7-24P	1
RNU7-50P	1
RNY3P14	1
ROR2	1
RPAP2	1
RPL13AP12	1
RPL17P2	1
RPL17P41	1
RPL21P38	1
RPL23AP86	1
RPL23AP89	1
RPL27AP	1
RPL29P20	1
RPL30P12	1
RPL32P29	1
RPL35P10	1
RPL35P3	1
RPL39P5	1
RPL3P3	1
RPL5P20	1
RPL5P25	1
RPL7AP40	1
RPL7AP47	1
RPL7AP55	1
RPL7AP9	1
RPL7P4	1
RPL8P4	1
RPS17P8	1
RPS27AP1	1
RPS27P29	1
RPS29P14	1
RPS3P2	1
RPS4XP2	1
RPSAP22	1
RRM1	1
RRP1	1
RXFP1	1
RYBP	1
S100A6	1
S100A7A	1
S100A8	1
SAPCD1-AS1	1
SCNN1B	1
SCRT2	1
SCYGR3	1
SCYGR4	1
SDHCP2	1
SEPSECS-DT	1
SEPTIN8	1
SERPINB10	1
SFSWAP-AS1	1
SFXN4	1
SGCD	1
SH3GL1P2	1
SIGLEC24P	1
SINHCAFP2	1
SIRPG-AS1	1
SLC25A5P1	1
SLC27A6	1
SLC7A11-AS1	1
SLIRPP2	1
SMIM32	1
SNHG16	1
SNORA71A	1
SNORA71B	1
SNORA71C	1
SNORD39	1
SNORD68	1
SNRPGP4	1
SNX29-AS2	1
SPDYE10	1
SPRING1P1	1
SRSF6	1
ST20-AS1	1
STK11	1
SUMO2P10	1
SUMO2P2	1
SYNM-AS1	1
TAAR9	1
TALAM1	1
TANK-AS1	1
TAP2	1
TAS2R2	1
TBC1D3C	1
TCP10L2	1
TECRP1	1
TEDC2-AS1	1
THAP12P8	1
TM4SF19-AS1	1
TMED5	1
TMEM94	1
TNFSF18	1
TNXA	1
TPRKBP2	1
TPT1-AS1	1
TRAJ5	1
TRAJ6	1
TRBV13	1
TRBV7-9	1
TRIM36-IT1	1
TRIM51G	1
TTC34	1
TUBAP14	1
U8	1
UBBP1	1
UBE2E1-AS1	1
UCHL1-DT	1
UHRF2-AS1	1
UQCC6	1
UQCRHP1	1
UQCRHP3	1
VGLL4	1
VHLL	1
VPS51P13	1
WASH2P	1
WHAMMP4	1
YBX1P6	1
ZBTB8OSP2	1
ZDHHC20P2	1
ZDHHC20P4	1
ZEB2	1
ZFHX3	1
ZFP64	1
ZNF70P1	1
ZPLD1	1
ZSCAN5A	1
