method	number_of_snps	beta_estimate	standard_error	p_value	odds_ratio	beta_lci95	beta_uci95	odds_ratio_lci95	odds_ratio_uci95	odds_ratio_note
Inverse variance weighted	395	-0.0124362225567675	0.00773550463967357	0.107905098103898	NA	-0.0275978116505277	0.00272536653699264	NA	NA	Not calculated: BMI is a continuous outcome
MR Egger	395	0.0126237630698428	0.0120652595084663	0.296070139000371	NA	-0.0110241455667511	0.0362716717064366	NA	NA	Not calculated: BMI is a continuous outcome
Weighted median	395	-0.00344476193677942	0.0104787573441636	0.742354003127502	NA	-0.0239831263313401	0.0170936024577812	NA	NA	Not calculated: BMI is a continuous outcome
Weighted mode	395	-0.00172423963892891	0.0116302828810577	0.882217910855145	NA	-0.024519594085802	0.0210711148079442	NA	NA	Not calculated: BMI is a continuous outcome
Simple mode	395	-0.00172423963892891	0.0203325825102415	0.932462033340747	NA	-0.0415761013590022	0.0381276220811444	NA	NA	Not calculated: BMI is a continuous outcome
