section	metric	value	units	source_file	source_column	source_row_or_filter	rounded_display_value	notes	unit	row_or_contrast	formatted_value
"3.6"	"Coordinate unresolved SNPs"	"16"	NA	"results/annotation_grch38/qc/vep_grch38_input_mapping.tsv"	"coordinate_status"	NA	NA	"Corrected GRCh38 VEP annotation"	"SNPs"	"UNRESOLVED_GRCH38_COORDINATE"	"16"
"3.6"	"Annotation completion"	"96.117244004568"	NA	"results/annotation_grch38/qc/vep_annotation_completion_qc.tsv"	"successfully_annotated_percent_of_all"	NA	NA	"Corrected GRCh38 VEP annotation"	"percent"	"metric"	"96.12%"
"3.7.1"	"total_instruments"	"5254"	"SNPs"	"results/mr/finngen/qc/exposure_coordinate_repair_qc.tsv"	"value"	"total_instruments"	"5,254"	""	NA	NA	NA
"3.7.1"	"GRCh38_coordinates_recovered"	"5238"	"SNPs"	"results/mr/finngen/qc/exposure_coordinate_repair_qc.tsv"	"value"	"GRCh38_coordinates_recovered"	"5,238"	""	NA	NA	NA
"3.7.1"	"coordinates_unresolved"	"16"	"SNPs"	"results/mr/finngen/qc/exposure_coordinate_repair_qc.tsv"	"value"	"coordinates_unresolved"	"16"	""	NA	NA	NA
"3.7.1"	"old_position_differs_new"	"3047"	"SNPs"	"results/mr/finngen/qc/exposure_coordinate_repair_qc.tsv"	"value"	"old_position_differs_new"	"3,047"	""	NA	NA	NA
"3.7.1"	"GRCh38 coordinate recovery"	"99.6954701180053"	"percent"	"results/mr/finngen/qc/exposure_coordinate_repair_qc.tsv"	"value"	"recovered / total"	"99.70%"	""	NA	NA	NA
"3.7.1"	"Allergic rhinitis FinnGen_matched_SNPs"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"Allergic rhinitis"	"810"	""	NA	NA	NA
"3.7.1"	"Allergic rhinitis Entering_harmonisation"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"Allergic rhinitis"	"810"	""	NA	NA	NA
"3.7.1"	"Allergic rhinitis Palindromic_ambiguous_removed"	"158"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"Allergic rhinitis"	"158"	""	NA	NA	NA
"3.7.1"	"Allergic rhinitis Final_MR_ready_SNPs"	"652"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"Allergic rhinitis"	"652"	""	NA	NA	NA
"3.7.1"	"Allergic rhinitis Retention_percent"	"80.4938271604938"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"Allergic rhinitis"	"80.49%"	""	NA	NA	NA
"3.7.1"	"Bronchiectasis FinnGen_matched_SNPs"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"Bronchiectasis"	"810"	""	NA	NA	NA
"3.7.1"	"Bronchiectasis Entering_harmonisation"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"Bronchiectasis"	"810"	""	NA	NA	NA
"3.7.1"	"Bronchiectasis Palindromic_ambiguous_removed"	"158"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"Bronchiectasis"	"158"	""	NA	NA	NA
"3.7.1"	"Bronchiectasis Final_MR_ready_SNPs"	"652"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"Bronchiectasis"	"652"	""	NA	NA	NA
"3.7.1"	"Bronchiectasis Retention_percent"	"80.4938271604938"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"Bronchiectasis"	"80.49%"	""	NA	NA	NA
"3.7.1"	"Eosinophilic disease FinnGen_matched_SNPs"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"Eosinophilic disease"	"810"	""	NA	NA	NA
"3.7.1"	"Eosinophilic disease Entering_harmonisation"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"Eosinophilic disease"	"810"	""	NA	NA	NA
"3.7.1"	"Eosinophilic disease Palindromic_ambiguous_removed"	"158"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"Eosinophilic disease"	"158"	""	NA	NA	NA
"3.7.1"	"Eosinophilic disease Final_MR_ready_SNPs"	"652"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"Eosinophilic disease"	"652"	""	NA	NA	NA
"3.7.1"	"Eosinophilic disease Retention_percent"	"80.4938271604938"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"Eosinophilic disease"	"80.49%"	""	NA	NA	NA
"3.7.1"	"BMI (inverse-rank normalized) FinnGen_matched_SNPs"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"BMI (inverse-rank normalized)"	"810"	""	NA	NA	NA
"3.7.1"	"BMI (inverse-rank normalized) Entering_harmonisation"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"BMI (inverse-rank normalized)"	"810"	""	NA	NA	NA
"3.7.1"	"BMI (inverse-rank normalized) Palindromic_ambiguous_removed"	"158"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"BMI (inverse-rank normalized)"	"158"	""	NA	NA	NA
"3.7.1"	"BMI (inverse-rank normalized) Final_MR_ready_SNPs"	"652"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"BMI (inverse-rank normalized)"	"652"	""	NA	NA	NA
"3.7.1"	"BMI (inverse-rank normalized) Retention_percent"	"80.4938271604938"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"BMI (inverse-rank normalized)"	"80.49%"	""	NA	NA	NA
"3.7.1"	"NAFLD FinnGen_matched_SNPs"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"NAFLD"	"810"	""	NA	NA	NA
"3.7.1"	"NAFLD Entering_harmonisation"	"810"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"NAFLD"	"810"	""	NA	NA	NA
"3.7.1"	"NAFLD Palindromic_ambiguous_removed"	"158"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"NAFLD"	"158"	""	NA	NA	NA
"3.7.1"	"NAFLD Final_MR_ready_SNPs"	"652"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"NAFLD"	"652"	""	NA	NA	NA
"3.7.1"	"NAFLD Retention_percent"	"80.4938271604938"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"NAFLD"	"80.49%"	""	NA	NA	NA
"3.7.1"	"CRP FinnGen_matched_SNPs"	"797"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"CRP"	"797"	""	NA	NA	NA
"3.7.1"	"CRP Entering_harmonisation"	"797"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"CRP"	"797"	""	NA	NA	NA
"3.7.1"	"CRP Palindromic_ambiguous_removed"	"156"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"CRP"	"156"	""	NA	NA	NA
"3.7.1"	"CRP Final_MR_ready_SNPs"	"641"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"CRP"	"641"	""	NA	NA	NA
"3.7.1"	"CRP Retention_percent"	"80.426599749059"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"CRP"	"80.43%"	""	NA	NA	NA
"3.7.1"	"ALT FinnGen_matched_SNPs"	"798"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"ALT"	"798"	""	NA	NA	NA
"3.7.1"	"ALT Entering_harmonisation"	"798"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"ALT"	"798"	""	NA	NA	NA
"3.7.1"	"ALT Palindromic_ambiguous_removed"	"156"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"ALT"	"156"	""	NA	NA	NA
"3.7.1"	"ALT Final_MR_ready_SNPs"	"642"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"ALT"	"642"	""	NA	NA	NA
