section	metric	value	units	source_file	source_column	source_row_or_filter	rounded_display_value	notes	unit	row_or_contrast	formatted_value
"3.7.2"	"BMI (inverse-rank normalized) ivw_SE"	"0.000166409397584385"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"BMI (inverse-rank normalized)"	"0.0001664"	""	NA	NA	NA
"3.7.2"	"BMI (inverse-rank normalized) ivw_lower_95CI"	"-0.000543337767148956"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"BMI (inverse-rank normalized)"	"-0.0005433"	""	NA	NA	NA
"3.7.2"	"BMI (inverse-rank normalized) ivw_upper_95CI"	"0.000108987071381832"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"BMI (inverse-rank normalized)"	"1.09e-04"	""	NA	NA	NA
"3.7.2"	"BMI (inverse-rank normalized) ivw_p_value"	"0.191870168256249"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"BMI (inverse-rank normalized)"	"0.192"	""	NA	NA	NA
"3.7.2"	"BMI (inverse-rank normalized) ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"BMI (inverse-rank normalized)"	"1"	""	NA	NA	NA
"3.7.2"	"BMI (inverse-rank normalized) ivw_p_fdr_bh"	"0.785785687765979"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"BMI (inverse-rank normalized)"	"0.786"	""	NA	NA	NA
"3.7.2"	"NAFLD final_mr_ready_snps"	"652"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"NAFLD"	"652"	""	NA	NA	NA
"3.7.2"	"NAFLD ivw_beta"	"-9.63147371930543e-05"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"NAFLD"	"-0.00009631"	""	NA	NA	NA
"3.7.2"	"NAFLD ivw_SE"	"0.00103165834224751"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"NAFLD"	"0.001032"	""	NA	NA	NA
"3.7.2"	"NAFLD ivw_lower_95CI"	"-0.00211836508799817"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"NAFLD"	"-0.002118"	""	NA	NA	NA
"3.7.2"	"NAFLD ivw_upper_95CI"	"0.00192573561361206"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"NAFLD"	"0.002"	""	NA	NA	NA
"3.7.2"	"NAFLD ivw_p_value"	"0.925618249030925"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"NAFLD"	"0.926"	""	NA	NA	NA
"3.7.2"	"NAFLD ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"NAFLD"	"1"	""	NA	NA	NA
"3.7.2"	"NAFLD ivw_p_fdr_bh"	"0.957101983881824"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"NAFLD"	"0.957"	""	NA	NA	NA
"3.7.2"	"CRP final_mr_ready_snps"	"641"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"CRP"	"641"	""	NA	NA	NA
"3.7.2"	"CRP ivw_beta"	"-0.000201702307536281"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"CRP"	"-0.0002017"	""	NA	NA	NA
"3.7.2"	"CRP ivw_SE"	"0.000125882720136605"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"CRP"	"0.0001259"	""	NA	NA	NA
"3.7.2"	"CRP ivw_lower_95CI"	"-0.000448432439004026"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"CRP"	"-0.0004484"	""	NA	NA	NA
"3.7.2"	"CRP ivw_upper_95CI"	"4.5027823931464e-05"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"CRP"	"4.5e-05"	""	NA	NA	NA
"3.7.2"	"CRP ivw_p_value"	"0.109088539366306"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"CRP"	"0.109"	""	NA	NA	NA
"3.7.2"	"CRP ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"CRP"	"1"	""	NA	NA	NA
"3.7.2"	"CRP ivw_p_fdr_bh"	"0.785785687765979"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"CRP"	"0.786"	""	NA	NA	NA
"3.7.2"	"ALT final_mr_ready_snps"	"642"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"ALT"	"642"	""	NA	NA	NA
"3.7.2"	"ALT ivw_beta"	"0.000129384739787473"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"ALT"	"0.0001294"	""	NA	NA	NA
"3.7.2"	"ALT ivw_SE"	"0.00016646411655694"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"ALT"	"0.0001665"	""	NA	NA	NA
"3.7.2"	"ALT ivw_lower_95CI"	"-0.00019688492866413"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"ALT"	"-0.0001969"	""	NA	NA	NA
"3.7.2"	"ALT ivw_upper_95CI"	"0.000455654408239076"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"ALT"	"4.56e-04"	""	NA	NA	NA
"3.7.2"	"ALT ivw_p_value"	"0.437009497895474"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"ALT"	"0.437"	""	NA	NA	NA
"3.7.2"	"ALT ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"ALT"	"1"	""	NA	NA	NA
"3.7.2"	"ALT ivw_p_fdr_bh"	"0.785785687765979"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"ALT"	"0.786"	""	NA	NA	NA
"3.7.2"	"AST final_mr_ready_snps"	"623"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"AST"	"623"	""	NA	NA	NA
"3.7.2"	"AST ivw_beta"	"-0.000204128417726959"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"AST"	"-0.0002041"	""	NA	NA	NA
"3.7.2"	"AST ivw_SE"	"0.000236521068632343"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"AST"	"0.0002365"	""	NA	NA	NA
"3.7.2"	"AST ivw_lower_95CI"	"-0.000667709712246352"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"AST"	"-0.0006677"	""	NA	NA	NA
"3.7.2"	"AST ivw_upper_95CI"	"0.000259452876792433"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"AST"	"2.59e-04"	""	NA	NA	NA
"3.7.2"	"AST ivw_p_value"	"0.388112511845959"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"AST"	"0.388"	""	NA	NA	NA
"3.7.2"	"AST ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"AST"	"1"	""	NA	NA	NA
"3.7.2"	"AST ivw_p_fdr_bh"	"0.785785687765979"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"AST"	"0.786"	""	NA	NA	NA
"3.7.2"	"GGT final_mr_ready_snps"	"641"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"GGT"	"641"	""	NA	NA	NA
"3.7.2"	"GGT ivw_beta"	"0.000147629075141017"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"GGT"	"0.0001476"	""	NA	NA	NA
"3.7.2"	"GGT ivw_SE"	"0.000173987324118872"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"GGT"	"0.000174"	""	NA	NA	NA
"3.7.2"	"GGT ivw_lower_95CI"	"-0.000193386080131972"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"GGT"	"-0.0001934"	""	NA	NA	NA
"3.7.2"	"GGT ivw_upper_95CI"	"0.000488644230414006"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"GGT"	"4.89e-04"	""	NA	NA	NA
"3.7.2"	"GGT ivw_p_value"	"0.396156914851143"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"GGT"	"0.396"	""	NA	NA	NA
"3.7.2"	"GGT ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"GGT"	"1"	""	NA	NA	NA
"3.7.2"	"GGT ivw_p_fdr_bh"	"0.785785687765979"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"GGT"	"0.786"	""	NA	NA	NA
"3.7.2"	"HDL cholesterol final_mr_ready_snps"	"642"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"HDL cholesterol"	"642"	""	NA	NA	NA
"3.7.2"	"HDL cholesterol ivw_beta"	"-9.28083117096095e-05"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"HDL cholesterol"	"-0.00009281"	""	NA	NA	NA
"3.7.2"	"HDL cholesterol ivw_SE"	"0.000212500536423005"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"HDL cholesterol"	"0.0002125"	""	NA	NA	NA
"3.7.2"	"HDL cholesterol ivw_lower_95CI"	"-0.0005093093630987"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"HDL cholesterol"	"-0.0005093"	""	NA	NA	NA
"3.7.2"	"HDL cholesterol ivw_upper_95CI"	"0.000323692739679481"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"HDL cholesterol"	"3.24e-04"	""	NA	NA	NA
"3.7.2"	"HDL cholesterol ivw_p_value"	"0.66229709258839"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"HDL cholesterol"	"0.662"	""	NA	NA	NA
"3.7.2"	"HDL cholesterol ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"HDL cholesterol"	"1"	""	NA	NA	NA
"3.7.2"	"HDL cholesterol ivw_p_fdr_bh"	"0.883062790117853"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"HDL cholesterol"	"0.883"	""	NA	NA	NA
"3.7.2"	"LDL cholesterol final_mr_ready_snps"	"642"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"LDL cholesterol"	"642"	""	NA	NA	NA
"3.7.2"	"LDL cholesterol ivw_beta"	"-0.000196007395861295"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"LDL cholesterol"	"-0.000196"	""	NA	NA	NA
"3.7.2"	"LDL cholesterol ivw_SE"	"0.000255742729498248"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"LDL cholesterol"	"0.0002557"	""	NA	NA	NA
"3.7.2"	"LDL cholesterol ivw_lower_95CI"	"-0.000697263145677862"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"LDL cholesterol"	"-0.0006973"	""	NA	NA	NA
"3.7.2"	"LDL cholesterol ivw_upper_95CI"	"0.000305248353955271"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"LDL cholesterol"	"3.05e-04"	""	NA	NA	NA
"3.7.2"	"LDL cholesterol ivw_p_value"	"0.4434239868505"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"LDL cholesterol"	"0.443"	""	NA	NA	NA
"3.7.2"	"LDL cholesterol ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"LDL cholesterol"	"1"	""	NA	NA	NA
"3.7.2"	"LDL cholesterol ivw_p_fdr_bh"	"0.785785687765979"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"LDL cholesterol"	"0.786"	""	NA	NA	NA
"3.7.2"	"Triglycerides (fasting) final_mr_ready_snps"	"641"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"Triglycerides (fasting)"	"641"	""	NA	NA	NA
"3.7.2"	"Triglycerides (fasting) ivw_beta"	"-1.99703846322911e-05"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"Triglycerides (fasting)"	"-0.00001997"	""	NA	NA	NA
"3.7.2"	"Triglycerides (fasting) ivw_SE"	"0.000270615945307765"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"Triglycerides (fasting)"	"0.0002706"	""	NA	NA	NA
"3.7.2"	"Triglycerides (fasting) ivw_lower_95CI"	"-0.00055037763743551"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"Triglycerides (fasting)"	"-0.0005504"	""	NA	NA	NA
"3.7.2"	"Triglycerides (fasting) ivw_upper_95CI"	"0.000510436868170928"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"Triglycerides (fasting)"	"5.1e-04"	""	NA	NA	NA
"3.7.2"	"Triglycerides (fasting) ivw_p_value"	"0.941172679505121"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"Triglycerides (fasting)"	"0.941"	""	NA	NA	NA
"3.7.2"	"Triglycerides (fasting) ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"Triglycerides (fasting)"	"1"	""	NA	NA	NA
"3.7.2"	"Triglycerides (fasting) ivw_p_fdr_bh"	"0.957101983881824"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"Triglycerides (fasting)"	"0.957"	""	NA	NA	NA
"3.7.2"	"Nominal IVW significant"	"0"	"outcomes"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"P < 0.05"	"0"	""	NA	NA	NA
"3.7.2"	"Bonferroni IVW significant"	"0"	"outcomes"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_bonferroni_significant"	"TRUE"	"0"	""	NA	NA	NA
"3.7.3"	"Allergic rhinitis ivw_heterogeneity_p_value"	"4.87715594008264e-215"	"ivw_heterogeneity_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"ivw_heterogeneity_p_value"	"Allergic rhinitis"	"4.88e-215"	""	NA	NA	NA
"3.7.3"	"Allergic rhinitis egger_intercept"	"0.0227901749587063"	"egger_intercept"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept"	"Allergic rhinitis"	"0.0227901749587063"	""	NA	NA	NA
"3.7.3"	"Allergic rhinitis egger_intercept_p_value"	"3.85036755916676e-86"	"egger_intercept_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept_p_value"	"Allergic rhinitis"	"3.85e-86"	""	NA	NA	NA
"3.7.3"	"Allergic rhinitis p_egger_fdr"	"4.62044107100011e-85"	"p_egger_fdr"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"p_egger_fdr"	"Allergic rhinitis"	"4.62e-85"	""	NA	NA	NA
"3.7.3"	"Allergic rhinitis leave_one_out_sign_change"	"FALSE"	"leave_one_out_sign_change"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"leave_one_out_sign_change"	"Allergic rhinitis"	"FALSE"	""	NA	NA	NA
"3.7.3"	"Bronchiectasis ivw_heterogeneity_p_value"	"0.000372587851844782"	"ivw_heterogeneity_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"ivw_heterogeneity_p_value"	"Bronchiectasis"	"3.73e-04"	""	NA	NA	NA
"3.7.3"	"Bronchiectasis egger_intercept"	"0.00675174694170948"	"egger_intercept"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept"	"Bronchiectasis"	"0.00675174694170948"	""	NA	NA	NA
"3.7.3"	"Bronchiectasis egger_intercept_p_value"	"4.26390945471639e-05"	"egger_intercept_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept_p_value"	"Bronchiectasis"	"4.26e-05"	""	NA	NA	NA
"3.7.3"	"Bronchiectasis p_egger_fdr"	"0.000170556378188656"	"p_egger_fdr"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"p_egger_fdr"	"Bronchiectasis"	"1.71e-04"	""	NA	NA	NA
"3.7.3"	"Bronchiectasis leave_one_out_sign_change"	"FALSE"	"leave_one_out_sign_change"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"leave_one_out_sign_change"	"Bronchiectasis"	"FALSE"	""	NA	NA	NA
"3.7.3"	"Eosinophilic disease ivw_heterogeneity_p_value"	"0.0832046302553067"	"ivw_heterogeneity_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"ivw_heterogeneity_p_value"	"Eosinophilic disease"	"0.083"	""	NA	NA	NA
"3.7.3"	"Eosinophilic disease egger_intercept"	"0.0160999202753102"	"egger_intercept"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept"	"Eosinophilic disease"	"0.0160999202753102"	""	NA	NA	NA
"3.7.3"	"Eosinophilic disease egger_intercept_p_value"	"8.39090308103799e-06"	"egger_intercept_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept_p_value"	"Eosinophilic disease"	"8.39e-06"	""	NA	NA	NA
"3.7.3"	"Eosinophilic disease p_egger_fdr"	"5.03454184862279e-05"	"p_egger_fdr"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"p_egger_fdr"	"Eosinophilic disease"	"5.03e-05"	""	NA	NA	NA
"3.7.3"	"Eosinophilic disease leave_one_out_sign_change"	"TRUE"	"leave_one_out_sign_change"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"leave_one_out_sign_change"	"Eosinophilic disease"	"TRUE"	""	NA	NA	NA
"3.7.3"	"BMI (inverse-rank normalized) ivw_heterogeneity_p_value"	"1.69098637357217e-136"	"ivw_heterogeneity_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"ivw_heterogeneity_p_value"	"BMI (inverse-rank normalized)"	"1.69e-136"	""	NA	NA	NA
"3.7.3"	"BMI (inverse-rank normalized) egger_intercept"	"0.000248045818761495"	"egger_intercept"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept"	"BMI (inverse-rank normalized)"	"0.000248045818761495"	""	NA	NA	NA
"3.7.3"	"BMI (inverse-rank normalized) egger_intercept_p_value"	"0.271719725853208"	"egger_intercept_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept_p_value"	"BMI (inverse-rank normalized)"	"0.272"	""	NA	NA	NA
"3.7.3"	"BMI (inverse-rank normalized) p_egger_fdr"	"0.32606367102385"	"p_egger_fdr"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"p_egger_fdr"	"BMI (inverse-rank normalized)"	"0.326"	""	NA	NA	NA
"3.7.3"	"BMI (inverse-rank normalized) leave_one_out_sign_change"	"FALSE"	"leave_one_out_sign_change"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"leave_one_out_sign_change"	"BMI (inverse-rank normalized)"	"FALSE"	""	NA	NA	NA
"3.7.3"	"NAFLD ivw_heterogeneity_p_value"	"0.0553792738128266"	"ivw_heterogeneity_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"ivw_heterogeneity_p_value"	"NAFLD"	"0.055"	""	NA	NA	NA
"3.7.3"	"NAFLD egger_intercept"	"0.00245863257149887"	"egger_intercept"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept"	"NAFLD"	"0.00245863257149887"	""	NA	NA	NA
"3.7.3"	"NAFLD egger_intercept_p_value"	"0.0783692865885573"	"egger_intercept_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept_p_value"	"NAFLD"	"0.078"	""	NA	NA	NA
"3.7.3"	"NAFLD p_egger_fdr"	"0.134347348437527"	"p_egger_fdr"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"p_egger_fdr"	"NAFLD"	"0.134"	""	NA	NA	NA
"3.7.3"	"NAFLD leave_one_out_sign_change"	"TRUE"	"leave_one_out_sign_change"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"leave_one_out_sign_change"	"NAFLD"	"TRUE"	""	NA	NA	NA
"3.7.3"	"CRP ivw_heterogeneity_p_value"	"7.75258401123304e-11"	"ivw_heterogeneity_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"ivw_heterogeneity_p_value"	"CRP"	"7.75e-11"	""	NA	NA	NA
"3.7.3"	"CRP egger_intercept"	"-0.000196192703469598"	"egger_intercept"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept"	"CRP"	"-0.000196192703469598"	""	NA	NA	NA
"3.7.3"	"CRP egger_intercept_p_value"	"0.250824662858425"	"egger_intercept_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept_p_value"	"CRP"	"0.251"	""	NA	NA	NA
"3.7.3"	"CRP p_egger_fdr"	"0.32606367102385"	"p_egger_fdr"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"p_egger_fdr"	"CRP"	"0.326"	""	NA	NA	NA
"3.7.3"	"CRP leave_one_out_sign_change"	"FALSE"	"leave_one_out_sign_change"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"leave_one_out_sign_change"	"CRP"	"FALSE"	""	NA	NA	NA
"3.7.3"	"ALT ivw_heterogeneity_p_value"	"8.9221096684631e-180"	"ivw_heterogeneity_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"ivw_heterogeneity_p_value"	"ALT"	"8.92e-180"	""	NA	NA	NA
"3.7.3"	"ALT egger_intercept"	"-4.8739388892746e-05"	"egger_intercept"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept"	"ALT"	"-4.8739388892746e-05"	""	NA	NA	NA
"3.7.3"	"ALT egger_intercept_p_value"	"0.829726053595356"	"egger_intercept_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept_p_value"	"ALT"	"0.83"	""	NA	NA	NA
"3.7.3"	"ALT p_egger_fdr"	"0.829726053595356"	"p_egger_fdr"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"p_egger_fdr"	"ALT"	"0.83"	""	NA	NA	NA
"3.7.3"	"ALT leave_one_out_sign_change"	"FALSE"	"leave_one_out_sign_change"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"leave_one_out_sign_change"	"ALT"	"FALSE"	""	NA	NA	NA
"3.7.3"	"AST ivw_heterogeneity_p_value"	"4.09765193268383e-42"	"ivw_heterogeneity_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"ivw_heterogeneity_p_value"	"AST"	"4.1e-42"	""	NA	NA	NA
"3.7.3"	"AST egger_intercept"	"-0.00103732831896115"	"egger_intercept"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept"	"AST"	"-0.00103732831896115"	""	NA	NA	NA
"3.7.3"	"AST egger_intercept_p_value"	"0.0011818936289587"	"egger_intercept_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept_p_value"	"AST"	"0.001"	""	NA	NA	NA
"3.7.3"	"AST p_egger_fdr"	"0.00306834309944223"	"p_egger_fdr"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"p_egger_fdr"	"AST"	"0.003"	""	NA	NA	NA
"3.7.3"	"AST leave_one_out_sign_change"	"FALSE"	"leave_one_out_sign_change"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"leave_one_out_sign_change"	"AST"	"FALSE"	""	NA	NA	NA
"3.7.3"	"GGT ivw_heterogeneity_p_value"	"2.52492717698683e-83"	"ivw_heterogeneity_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"ivw_heterogeneity_p_value"	"GGT"	"2.52e-83"	""	NA	NA	NA
"3.7.3"	"GGT egger_intercept"	"0.000127795521624332"	"egger_intercept"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept"	"GGT"	"0.000127795521624332"	""	NA	NA	NA
"3.7.3"	"GGT egger_intercept_p_value"	"0.588323670816973"	"egger_intercept_p_value"	"results/mr/finngen/sensitivity/finngen_mr_sensitivity_summary.tsv"	"egger_intercept_p_value"	"GGT"	"0.588"	""	NA	NA	NA
