exposure	outcome	outcome_id	outcome_type	method	method_id	nsnp	beta	SE	p_value	beta_lower_95CI	beta_upper_95CI	OR	OR_lower_95CI	OR_upper_95CI	qc_pass	qc_message
Asthma	AST	3013721	continuous	Inverse variance weighted	mr_ivw	623	-0.000204128417726959	0.000236521068632343	0.388112511845959	-0.000667709712246352	0.000259452876792433	NA	NA	NA	TRUE	PASS
Asthma	AST	3013721	continuous	MR Egger	mr_egger_regression	623	-0.000135024978981353	0.000235669822549284	0.56689181540799	-0.00059693783117795	0.000326887873215243	NA	NA	NA	TRUE	PASS
Asthma	AST	3013721	continuous	Weighted median	mr_weighted_median	623	-1.7566361478985e-05	0.00026086011253327	0.946310907095871	-0.000528852182044194	0.000493719459086224	NA	NA	NA	TRUE	PASS
Asthma	AST	3013721	continuous	Simple mode	mr_simple_mode	623	0.00240513804325341	0.0109282365063689	0.825877375191073	-0.0190142055092297	0.0238244815957365	NA	NA	NA	TRUE	PASS
Asthma	AST	3013721	continuous	Weighted mode	mr_weighted_mode	623	0.00240513804325341	0.0103339885113237	0.816039451741758	-0.0178494794389411	0.0226597555254479	NA	NA	NA	TRUE	PASS
